Site ,VES,D1,D2,D3,D4,D5,D6,D7,D8,D9* (10),T1,T2,T3,T4,T5,T6,T7,T8,T9,Latitude (21),Longitude,HII,Standard HII,Frag Name,Forest Frag Code,Forest Type,Forest Type Code,DC,Wetland,Code,WPU,WetForest,WetFor,Simple,Date,Date1,Date2,StanDate,Julian1,"Avg,STD"
DC Costco Pool (by-tio-l Arboretum),-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,38.92143326,-76.9464094,56,3.61,Unlabeled,1,Oak/Hickory Group,1,0,Freshwater wetland,4,1,9,Oak Forested,1,4/29/2016,-,-,-0.512857302,16120,
Delaware Water Gap Pool 992,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.06401,-75.02271,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/29/2016,-,-,-0.512857302,16120,
Delaware Wild SF (Little Pond),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.03837,-74.7446,6,-1.51,Interior,7,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,5/18/2017,-,-,2.106770719,17138,
Delaware Wild SF (Mud Pond),-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.99881,-74.95944,10,-1.10,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Pond,1,2,2,Pine Pond,4,5/18/2017,-,-,2.106770719,17138,
Delware Water Gap Pool 888,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.087306,-74.997139,18,-0.28,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,4/29/2016,-,-,-0.512857302,16120,
Douglas State Forest (Aldrich Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.03,-71.77,22,0.13,Interior,7,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,7/7/2016,-,-,-0.335299018,16189,
Douglas State Forest (Wallum Lake),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.01,-71.767341,14,-0.69,Perforated,6,Oak/Pine Group,1,1,Lake,5,2,1,Oak Pond,4,7/7/2016,-,-,-0.335299018,16189,
Douglas State Forest (Whitten Resvoir),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,42.07,-71.769646,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Lake,5,2,1,Oak Pond,3,7/7/2016,-,-,-0.335299018,16189,
Dubuque State Forest (MOR),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.56,-72.9,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,7/5/2015,-,-,-2.916327413,15186,
Equinox Pond ,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43.15623,-73.08717,14,-0.69,Perforated,6,Oak/Hickory Group,1,0,Freshwater Forested/Shrub Wetland,4,1,9,Oak Forested,1,5/16/2016,-,-,-0.469111058,16137,
